Francisco Lindor,SS,CLE,11/14/93,null,0,0,21,null
Bradley Zimmer,OF,CLE,11/27/92,null,0,0,22,null
Clint Frazier,OF,CLE,9/6/94,null,0,0,21,null
Justus Sheffield,LHP,CLE,10/11/93,null,0,0,21,null
Mike Papi,OF,CLE,9/19/92,null,0,0,22,null
Tyler Naquin,OF,CLE,4/24/91,null,0,0,24,null
Francisco Mejia,C,CLE,10/27/95,null,0,0,19,null
Erik Gonzalez,3B/SS,CLE,8/31/91,null,0,0,24,null
Bobby Bradley,LHP,CLE,5/29/96,null,0,0,19,null
Cody Anderson,RHP,CLE,9/14/90,null,0,0,24,null
