Name,Position,High Level,Current Team,Current Status,Play Years,Draft Info,B-T,Born,Age,Debut,Debut Age,Svc Time,WAR
Chris Owings,SS,MLB,Arizona Diamondbacks,MLB-Active,2009-2014,ARI: 2009-1-41,R-R,8/12/91,24,,,,
Marc Krauss,LF-OF,MLB,Los Angeles Angels,Minors,2007-2014,ARI: 2009-2-64,L-R,10/5/87,27,6/21/13,26,1.062,-1.2
A.J. Pollock,CF,MLB,Arizona Diamondbacks,MLB-Active,2007-2014,ARI: 2009-1-17,R-R,12/5/87,27,,,,
Bobby Borchering,1B,AA,Detroit Tigers,Minors,2009-2014,ARI: 2009-1-16,B-R,10/25/90,24,null,null,0,0
Wade Miley,P,MLB,Boston Red Sox,MLB-Active,2006-2014,ARI: 2008-1-43,L-L,11/13/86,28,,,,
Patrick Corbin,P,MLB,Arizona Diamondbacks,MLB-Active,2009-2013,ANA: 2009-2-80,L-L,7/19/89,26,,,,
Keon Broxton,OF,AA,Altoona (AA) >> Pittsburgh Pirates,Minors,2009-2014,ARI: 2009-3-95,R-R,5/7/90,25,null,null,0,0
Jarrod Parker,P,MLB,Oakland Athletics,MLB-Active,2008-2013,ARI: 2007-1-9,R-R,11/24/88,26,,,,
Bobby Borchering,1B,AA,Detroit Tigers,Minors,2009-2014,ARI: 2009-1-16,B-R,10/25/90,24,,,,
A.J. Pollock,CF,MLB,Arizona Diamondbacks,MLB-Active,2007-2014,ARI: 2009-1-17,R-R,12/5/87,27,,,,
Brandon Allen,1B,MLB,New York Mets,Minors,2004-2014,CHA: 2004-5-149,L-R,2/12/86,29,8/22/09,24,1.041,-0.2
Daniel Schlereth,P,MLB,Detroit Tigers,Minors,2005-2014,ARI: 2008-1-26,L-L,5/9/86,29,5/29/09,23,2.111,-0.6
Chris Owings,SS,MLB,Arizona Diamondbacks,MLB-Active,2009-2014,ARI: 2009-1-41,R-R,8/12/91,24,,,,
Mike Belfiore,P,MLB,Toledo (AAA) >> Detroit Tigers,Minors,2007-2014,ARI: 2009-1-45,R-L,10/3/88,26,9/27/13,25,0.012,-0.1
Marc Krauss,LF-OF,MLB,Los Angeles Angels,Minors,2007-2014,ARI: 2009-2-64,L-R,10/5/87,27,,,,
Ryan Wheeler,3B,MLB,Los Angeles Angels,Minors,2007-2014,ARI: 2009-5-156,L-R,7/10/88,27,6/20/12,24,0.159,-1.3
Collin Cowgill,LF-CF,MLB,Los Angeles Angels,MLB-Active,2005-2014,ARI: 2008-5-168,R-L,5/22/86,29,7/26/11,25,2.151,2.3
