Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Jiovanni Mier,SS,AAA,Oklahoma City (AAA) >> Houston Astros,Minors,2009-2014,HOU: 2009-1-21,R-R,8/26/90,25,null,null,0,0
J.D. Martinez,LF-RF,MLB,Detroit Tigers,MLB-Active,2009-2014,HOU: 2009-20-611,R-R,8/21/87,28,7/30/11,24,3.036,3.1
Jimmy Paredes,RF,MLB,Baltimore Orioles,MLB-Active,2008-2014,Not drafted,B-R,11/25/88,26,8/1/11,23,1.059,-1.4
Tanner Bushue,P,A,,Retired,2009-2013,HOU: 2009-2-69,R-R,6/20/91,24,null,null,0,0
Austin Wates,OF,AAA,New Orleans (AAA) >> Miami Marlins,Minors,2008-2014,HOU: 2010-3-90,R-R,9/2/88,27,null,null,0,0
Ariel Ovando,RF-OF,A,Chicago Cubs,Minors,2011-2014,Not drafted,L-L,9/15/93,21,null,null,0,0
Jason Castro,C,MLB,Houston Astros,MLB-Active,2006-2014,HOU: 2008-1-10,L-R,6/18/87,28,6/22/10,23,4.104,6.1
Jiovanni Mier,SS,AAA,Oklahoma City (AAA) >> Houston Astros,Minors,2009-2014,HOU: 2009-1-21,R-R,8/26/90,25,null,null,0,0
Jordan Lyles,P,MLB,Colorado Rockies,MLB-Active,2008-2014,HOU: 2008-1-38,R-R,10/19/90,24,,,,
Sam Gervacio,P,MLB,-,-,2005-2013,Not drafted,R-R,1/10/85,30,8/14/09,25,0.5,0.2
Chia-Jen Lo,P,MLB,-,Free Agent,2009-2014,Not drafted,R-R,4/7/86,29,7/31/13,27,0.068,0.2
Ross Seaton,P,AAA,Detroit Tigers,Minors,2008-2014,HOU: 2008-3-109,L-R,9/18/89,25,null,null,0,0
Tanner Bushue,P,A,,Retired,2009-2013,HOU: 2009-2-69,R-R,6/20/91,24,null,null,0,0
Jay Austin,CF,A+,-,Free Agent,2008-2014,HOU: 2008-2-56,L-L,8/10/90,25,null,null,0,0
Jonathan Gaston,LF,AA,,Ind,2006-2014,HOU: 2008-7-212,L-R,10/13/86,28,null,null,0,0
T.J. Steele,RF,AA,-,Free Agent,2006-2012,HOU: 2008-4-122,R-R,9/21/86,28,null,null,0,0
