Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Drew Pomeranz,P,MLB,Oakland Athletics,MLB-Active,2008-2014,CLE: 2010-1-5,R-L,11/22/88,26,9/11/11,23,2.013,2.3
Nick Weglarz,OF,AAA,,Free Agent,2005-2013,CLE: 2005-3-94,L-L,12/16/87,27,null,null,0,0
Jason Knapp,P,A+,Myrtle Beach (A+) >> Texas Rangers,Minors,2008-2014,PHI: 2008-2-71,R-R,8/31/90,25,null,null,0,0
LeVon Washington,OF,A+,Carolina (A+) >> Cleveland Indians,Minors,2010-2014,CLE: 2010-2-55,L-R,7/26/91,24,null,null,0,0
Tony Wolters,C,AA,Cleveland Indians,MLB-Active,2010-2014,CLE: 2010-3-87,L-R,6/9/92,23,null,null,0,0
Joe Gardner,P,AA,,Free Agent,2007-2014,CLE: 2009-3-94,R-R,3/18/88,27,null,null,0,0
Nick Hagadone,P,MLB,Cleveland Indians,MLB-Active,2005-2014,BOS: 2007-1-55,L-L,1/1/86,29,,,,
Carlos Santana,C-DH,MLB,Cleveland Indians,MLB-Active,2005-2014,Not drafted,B-R,4/8/86,29,6/11/10,24,4.115,14.9
Lonnie Chisenhall,3B,MLB,Cleveland Indians,MLB-Active,2007-2014,CLE: 2008-1-29,L-R,10/4/88,26,,,,
Nick Hagadone,P,MLB,Cleveland Indians,MLB-Active,2005-2014,BOS: 2007-1-55,L-L,1/1/86,29,,,,
Jason Knapp,P,A+,Myrtle Beach (A+) >> Texas Rangers,Minors,2008-2014,PHI: 2008-2-71,R-R,8/31/90,25,null,null,0,0
Michael Brantley,LF,MLB,Cleveland Indians,MLB-Active,2005-2014,MIL: 2005-7-205,L-L,5/15/87,28,9/1/09,22,4.131,11.1
Nick Weglarz,OF,AAA,,Free Agent,2005-2013,CLE: 2005-3-94,L-L,12/16/87,27,null,null,0,0
Hector Rondon,P,MLB,Chicago Cubs,MLB-Active,2006-2014,Not drafted,R-R,2/26/88,27,4/3/13,25,2,1.3
Carlos Carrasco,P,MLB,Cleveland Indians,MLB-Active,2004-2014,Not drafted,R-R,3/21/87,28,9/1/09,22,3.147,4.5
Alex White,P,MLB,Oklahoma City (AAA) >> Houston Astros,Minors (40),2007-2014,CLE: 2009-1-15,R-R,8/29/88,27,,,,
Jason Kipnis,2B,MLB,Cleveland Indians,MLB-Active,2006-2014,CLE: 2009-2-63,L-R,4/3/87,28,,,,
