Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Stetson Allie,1B,AA,Altoona (AA) >> Pittsburgh Pirates,Minors,2011-2014,PIT: 2010-2-52,R-R,3/13/91,24,null,null,0,0
Starling Marte,LF,MLB,Pittsburgh Pirates,MLB-Active,2009-2014,Not drafted,R-R,10/9/88,26,,,,
Luis Heredia,P,A,West Virginia (A) >> Pittsburgh Pirates,Minors,2011-2014,Not drafted,R-R,8/10/94,21,null,null,0,0
Bryan Morris,P,MLB,Miami Marlins,MLB-Active,2006-2014,LAN: 2006-1-26,L-R,3/28/87,28,9/14/12,25,2.011,-1.5
Rudy Owens,P,MLB,Oakland Athletics,Minors,2007-2014,PIT: 2006-28-830,L-L,12/18/87,27,5/23/14,26,0.006,-0.1
Jeff Locke,P,MLB,Pittsburgh Pirates,MLB-Active,2006-2014,ATL: 2006-2-51,L-L,11/20/87,27,,,,
Zack Von Rosenberg,P,A+,West Virginia (A) >> Pittsburgh Pirates,Minors,2009-2014,PIT: 2009-6-175,R-R,9/24/90,24,null,null,0,0
Chase D'arnaud,SS,MLB,Philadelphia Phillies,Minors,2006-2014,PIT: 2008-4-114,R-R,1/21/87,28,6/24/11,24,1.042,-1.1
Pedro Alvarez,3B,MLB,Pittsburgh Pirates,MLB-Active,2006-2014,PIT: 2008-1-2,L-R,2/6/87,28,6/16/10,23,4.085,5.9
Jose Tabata,RF-LF,MLB,Pittsburgh Pirates,Minors,2005-2014,Not drafted,R-R,8/12/88,27,6/9/10,22,4.031,2.9
Tony Sanchez,C,MLB,Pittsburgh Pirates,MLB-Active,2007-2014,PIT: 2009-1-4,R-R,5/20/88,27,,,,
Brad Lincoln,P,MLB,Pittsburgh Pirates,Minors,2004-2014,PIT: 2006-1-4,L-R,5/25/85,30,6/9/10,25,2.048,0.1
Chase D'arnaud,SS,MLB,Philadelphia Phillies,Minors,2006-2014,PIT: 2008-4-114,R-R,1/21/87,28,,,,
Starling Marte,LF,MLB,Pittsburgh Pirates,MLB-Active,2009-2014,Not drafted,R-R,10/9/88,26,,,,
Tim Alderson,P,AAA,,Free Agent,2007-2014,SFN: 2007-1-22,R-R,11/3/88,26,null,null,0,0
Zack Von Rosenberg,P,A+,West Virginia (A) >> Pittsburgh Pirates,Minors,2009-2014,PIT: 2009-6-175,R-R,9/24/90,24,null,null,0,0
Rudy Owens,P,MLB,Oakland Athletics,Minors,2007-2014,PIT: 2006-28-830,L-L,12/18/87,27,,,,
Gorkys Hernandez,OF,MLB,Pittsburgh Pirates,Minors,2006-2014,Not drafted,R-R,9/7/87,28,5/21/12,25,0.111,-0.3
