Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Peter Tago,P,A+,Chicago White Sox,Minors,2011-2014,COL: 2010-1-47,R-R,7/5/92,23,null,null,0,0
Kyle Parker,OF,MLB,Colorado Rockies,MLB-Active,2008-2014,COL: 2010-1-26,R-R,9/30/89,25,,,,
Rex Brothers,P,MLB,Colorado Rockies,MLB-Active,2007-2014,COL: 2009-1-34,L-L,12/18/87,27,6/6/11,23,3.117,2.7
Juan Nicasio,P,MLB,Los Angeles Dodgers,MLB-Active,2007-2014,Not drafted,R-R,8/31/86,29,5/28/11,25,3.084,4.6
Chad Bettis,P,MLB,Colorado Springs (AAA) >> Colorado Rockies,Minors (40),2008-2014,COL: 2010-2-76,R-R,4/26/89,26,,,,
Hector Gomez,SS,MLB,Milwaukee Brewers,MLB-Active,2006-2014,Not drafted,R-R,3/5/88,27,9/16/11,24,0.126,-0.2
Tyler Matzek,P,MLB,Colorado Rockies,MLB-Active,2010-2014,COL: 2009-1-11,L-L,10/19/90,24,,,,
Christian Friedrich,P,MLB,Colorado Rockies,MLB-Active,2006-2014,COL: 2008-1-25,R-L,7/8/87,28,,,,
Wilin Rosario,C,MLB,Colorado Rockies,MLB-Active,2007-2014,Not drafted,R-R,2/23/89,26,,,,
Jhoulys Chacin,P,MLB,Colorado Rockies,MLB-Active,2007-2014,Not drafted,R-R,1/7/88,27,7/5/09,22,5.012,11.1
Hector Gomez,SS,MLB,Milwaukee Brewers,MLB-Active,2006-2014,Not drafted,R-R,3/5/88,27,,,,
Eric Young,LF,MLB,Atlanta Braves,Minors,2004-2014,COL: 2003-30-887,B-R,5/25/85,30,8/25/09,24,4.123,2.5
Tim Wheeler,OF,AAA,Colorado Springs (AAA) >> Colorado Rockies,Minors,2007-2014,COL: 2009-1-32,L-R,1/21/88,27,null,null,0,0
Rex Brothers,P,MLB,Colorado Rockies,MLB-Active,2007-2014,COL: 2009-1-34,L-L,12/18/87,27,,,,
Esmil Rogers,P,MLB,New York Yankees,MLB-Active,2006-2014,Not drafted,R-R,8/14/85,30,9/12/09,24,4.088,2.5
Nolan Arenado,3B,MLB,Colorado Rockies,MLB-Active,2009-2014,COL: 2009-2-59,R-R,4/16/91,24,,,,
