Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Chance Ruffin,P,MLB,,Retired,2008-2014,DET: 2010-1-48,R-R,9/8/88,27,7/25/11,23,0.093,-0.6
Drew Smyly,P,MLB,Tampa Bay Rays,MLB-Active,2009-2014,DET: 2010-2-68,L-L,6/13/89,26,,,,
Avisail Garcia,CF-RF,MLB,Chicago White Sox,MLB-Active,2009-2014,Not drafted,R-R,6/12/91,24,,,,
Jose Ortega,P,MLB,Colorado Rockies,Minors,2009-2014,Not drafted,R-R,10/12/88,26,6/8/12,24,0.059,-0.3
Jacob Turner,P,MLB,Chicago Cubs,Minors (40),2010-2014,DET: 2009-1-9,R-R,5/21/91,24,,,,
Casey Crosby,P,MLB,Boston Red Sox,Minors,2008-2014,DET: 2007-5-181,R-L,9/17/88,26,,,,
Austin Jackson,CF,MLB,Seattle Mariners,MLB-Active,2005-2014,NYA: 2005-8-259,R-R,2/1/87,28,4/5/10,23,5,15.6
Andy Oliver,P,MLB,Philadelphia Phillies,MLB-Active,2007-2014,DET: 2009-2-58,L-L,12/3/87,27,,,,
Daniel Schlereth,P,MLB,Detroit Tigers,Minors,2005-2014,ARI: 2008-1-26,L-L,5/9/86,29,5/29/09,23,2.111,-0.6
Alex Avila,C,MLB,Detroit Tigers,MLB-Active,2006-2014,DET: 2008-5-163,L-R,1/29/87,28,8/6/09,23,5.061,10.7
Gustavo Nunez,2B-SS,AAA,Pittsburgh Pirates,Minors,2008-2014,Not drafted,B-R,2/8/88,27,null,null,0,0
Wilkin Ramirez,RF-CF,MLB,Minnesota Twins,Minors,2003-2014,Not drafted,R-R,10/25/85,29,5/20/09,24,1.084,0.1
Daniel Fields,OF,AAA,Toledo (AAA) >> Detroit Tigers,Minors (40),2010-2014,DET: 2009-6-180,L-R,1/23/91,24,null,null,0,0
Scott Sizemore,2B,MLB,Miami Marlins,Minors,2004-2014,DET: 2006-5-142,R-R,1/4/85,30,4/5/10,25,3.055,1.4
