Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
John Lamb,P,AAA,Omaha (AAA) >> Kansas City Royals,Minors (40),2009-2014,KCA: 2008-5-145,L-L,7/10/90,25,null,null,0,0
Mike Montgomery,P,AAA,Durham (AAA) >> Tampa Bay Rays,Minors (40),2008-2014,KCA: 2008-1-36,L-L,7/1/89,26,null,null,0,0
Christian Colon,2B-SS,MLB,Kansas City Royals,MLB-Active,2008-2014,KCA: 2010-1-4,R-R,5/14/89,26,,,,
Danny Duffy,P,MLB,Kansas City Royals,MLB-Active,2007-2014,KCA: 2007-3-96,L-L,12/21/88,26,5/18/11,22,3.085,4
Chris Dwyer,P,MLB,Kansas City Royals,Minors,2009-2014,KCA: 2009-4-122,R-L,4/10/88,27,,,,
Aaron Crow,P,MLB,Miami Marlins,MLB-Active,2006-2014,KCA: 2009-1-12,R-R,11/11/86,28,3/31/11,24,4,0.3
Brett Eibner,OF,AAA,Omaha (AAA) >> Kansas City Royals,Minors,2008-2014,KCA: 2010-2-54,R-R,12/2/88,26,null,null,0,0
Mike Montgomery,P,AAA,Durham (AAA) >> Tampa Bay Rays,Minors (40),2008-2014,KCA: 2008-1-36,L-L,7/1/89,26,null,null,0,0
Aaron Crow,P,MLB,Miami Marlins,MLB-Active,2006-2014,KCA: 2009-1-12,R-R,11/11/86,28,,,,
Wil Myers,RF,MLB,San Diego Padres,MLB-Active,2009-2014,KCA: 2009-3-91,R-R,12/10/90,24,,,,
Mike Moustakas,3B,MLB,Kansas City Royals,MLB-Active,2007-2014,KCA: 2007-1-2,L-R,9/11/88,26,,,,
Eric Hosmer,1B,MLB,Kansas City Royals,MLB-Active,2008-2014,KCA: 2008-1-3,L-L,10/24/89,25,,,,
Tim Melville,P,AA,Detroit Tigers,Minors,2009-2014,KCA: 2008-4-115,R-R,10/9/89,25,null,null,0,0
John Lamb,P,AAA,Omaha (AAA) >> Kansas City Royals,Minors (40),2009-2014,KCA: 2008-5-145,L-L,7/10/90,25,null,null,0,0
Danny Duffy,P,MLB,Kansas City Royals,MLB-Active,2007-2014,KCA: 2007-3-96,L-L,12/21/88,26,,,,
Chris Dwyer,P,MLB,Kansas City Royals,Minors,2009-2014,KCA: 2009-4-122,R-L,4/10/88,27,,,,
David Lough,RF-LF,MLB,Baltimore Orioles,MLB-Active,2005-2014,KCA: 2007-11-336,L-L,1/20/86,29,9/1/12,27,1.169,4.4
