Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Jemile Weeks,2B-CF,MLB,Boston Red Sox,Minors,2006-2014,OAK: 2008-1-12,B-R,1/26/87,28,6/7/11,24,2.011,1.4
Max Stassi,C,MLB,Houston Astros,MLB-Active,2009-2014,OAK: 2009-4-123,R-R,3/15/91,24,8/20/13,22,0.068,0.1
Aaron Shipman,OF,A+,Stockton (A+) >> Oakland Athletics,Minors,2010-2014,OAK: 2010-3-92,L-L,1/27/92,23,null,null,0,0
Yordy Cabrera,3B,A+,Jupiter (A+) >> Miami Marlins,Minors,2010-2013,OAK: 2010-2-60,R-R,9/3/90,25,null,null,0,0
Ian Krol,P,MLB,Toledo (AAA) >> Detroit Tigers,Minors (40),2009-2014,OAK: 2009-7-213,L-L,5/9/91,24,6/5/13,22,1.082,-0.8
Michael Taylor,OF,MLB,Chicago White Sox,Minors,2005-2014,PHI: 2007-5-173,R-R,12/19/85,29,,,,
Chris Carter,1B-LF,MLB,Houston Astros,MLB-Active,2005-2014,CHA: 2005-15-455,R-R,12/18/86,28,,,,
Michael Taylor,OF,MLB,Chicago White Sox,Minors,2005-2014,PHI: 2007-5-173,R-R,12/19/85,29,,,,
Grant Green,2B,MLB,Los Angeles Angels,MLB-Active,2007-2014,OAK: 2009-1-13,R-R,9/27/87,27,,,,
Max Stassi,C,MLB,Houston Astros,MLB-Active,2009-2014,OAK: 2009-4-123,R-R,3/15/91,24,,,,
Pedro Figueroa,P,MLB,,Free Agent,2006-2014,Not drafted,L-L,11/23/85,29,4/21/12,26,1.106,-0.4
Tyson Ross,P,MLB,San Diego Padres,MLB-Active,2006-2014,OAK: 2008-2-58,R-R,4/22/87,28,,,,
Jemile Weeks,2B-CF,MLB,Boston Red Sox,Minors,2006-2014,OAK: 2008-1-12,B-R,1/26/87,28,,,,
Grant Desme,OF,A+,-,-,2005-2009,OAK: 2007-2-74,R-R,4/4/86,29,null,null,0,0
Adrian Cardenas,2B,MLB,-,Free Agent,2006-2012,PHI: 2006-1-37,L-R,10/10/87,27,5/7/12,25,0.5,-0.3
Sean Doolittle,P,MLB,Oakland Athletics,MLB-Active,2005-2014,OAK: 2007-1-41,L-L,9/26/86,28,6/5/12,26,2.122,5.7
