Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Tyrell Jenkins,P,A+,Atlanta Braves,MLB-Active,2010-2014,SLN: 2010-1-50,R-R,7/20/92,23,null,null,0,0
Allen Craig,1B,MLB,Boston Red Sox,MLB-Active,2003-2014,SLN: 2006-8-256,R-R,7/18/84,31,4/8/10,26,4.077,6.1
Lance Lynn,P,MLB,St. Louis Cardinals,MLB-Active,2006-2014,SLN: 2008-1-39,R-R,5/12/87,28,,,,
Eduardo Sanchez,P,MLB,Detroit Tigers,Int,2007-2014,Not drafted,R-R,2/16/89,26,,,,
Seth Blair,P,AAA,Springfield (AA) >> St. Louis Cardinals,Minors,2008-2014,SLN: 2010-1-46,R-R,3/3/89,26,null,null,0,0
Jordan Swagerty,P,AA,St. Louis Cardinals,Minors,2009-2013,SLN: 2010-2-75,B-R,7/14/89,26,null,null,0,0
Joe Kelly,P,MLB,Boston Red Sox,MLB-Active,2007-2014,SLN: 2009-3-98,R-R,6/9/88,27,6/10/12,24,2.116,1.9
Shelby Miller,P,MLB,Atlanta Braves,MLB-Active,2009-2014,SLN: 2009-1-19,R-R,10/10/90,24,,,,
Jaime Garcia,P,MLB,St. Louis Cardinals,MLB-Active,2006-2014,SLN: 2005-22-680,L-L,7/8/86,29,7/11/08,22,6.047,9.1
Lance Lynn,P,MLB,St. Louis Cardinals,MLB-Active,2006-2014,SLN: 2008-1-39,R-R,5/12/87,28,,,,
Daryl Jones,LF-RF,AAA,,Free Agent,2005-2012,SLN: 2005-3-110,L-L,6/25/87,28,null,null,0,0
David Freese,3B,MLB,Los Angeles Angels,MLB-Active,2005-2014,SDN: 2006-9-273,R-R,4/28/83,32,4/6/09,26,5.028,10.1
Eduardo Sanchez,P,MLB,Detroit Tigers,Int,2007-2014,Not drafted,R-R,2/16/89,26,,,,
Allen Craig,1B,MLB,Boston Red Sox,MLB-Active,2003-2014,SLN: 2006-8-256,R-R,7/18/84,31,,,,
Blake Hawksworth,P,MLB,,Retired,2002-2012,SLN: 2001-28-854,R-R,3/1/83,32,6/6/09,26,3.05,-0.5
Daniel Descalso,SS-2B,MLB,Colorado Rockies,MLB-Active,2005-2014,SLN: 2007-3-112,L-R,10/19/86,28,9/18/10,24,4.016,0.3
Robert Stock,P,A+,,Free Agent,2007-2014,SLN: 2009-2-67,L-R,11/21/89,25,null,null,0,0
