Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Josh Vitters,3B,MLB,Colorado Rockies,Minors,2007-2014,CHN: 2007-1-3,R-R,8/27/89,26,,,,
Chris Carpenter,P,MLB,,Int,2005-2014,CHN: 2008-3-97,R-R,12/26/85,29,6/14/11,25,0.02,0
Matt Szczur,OF,MLB,Chicago Cubs,MLB-Active,2009-2014,CHN: 2010-5-160,R-R,7/20/89,26,,,,
Hayden Simpson,P,A+,,Free Agent,2008-2013,CHN: 2010-1-16,R-R,5/20/89,26,null,null,0,0
Rafael Dolis,P,MLB,Detroit Tigers,Minors,2006-2014,Not drafted,R-R,1/10/88,27,,,,
Brandon Guyer,OF,MLB,Tampa Bay Rays,MLB-Active,2005-2014,CHN: 2007-5-157,R-R,1/28/86,29,5/6/11,25,2.066,2
Starlin Castro,SS,MLB,Chicago Cubs,MLB-Active,2008-2014,Not drafted,R-R,3/24/90,25,5/7/10,20,4.15,11.2
Brett Jackson,OF,MLB,San Francisco Giants,Minors,2007-2014,CHN: 2009-1-31,L-R,8/2/88,27,,,,
Josh Vitters,3B,MLB,Colorado Rockies,Minors,2007-2014,CHN: 2007-1-3,R-R,8/27/89,26,,,,
Andrew Cashner,P,MLB,San Diego Padres,MLB-Active,2006-2014,CHN: 2008-1-19,R-R,9/11/86,29,5/31/10,24,4.126,3.8
Jay Jackson,P,AAA,San Diego Padres,Minors,2006-2014,CHN: 2008-9-281,R-R,10/27/87,27,null,null,0,0
Hak-Ju Lee,SS,AAA,Durham (AAA) >> Tampa Bay Rays,Minors (40),2009-2014,Not drafted,L-R,11/4/90,24,null,null,0,0
Logan Watkins,2B,MLB,Chicago Cubs,Minors,2008-2014,CHN: 2008-21-641,L-R,8/29/89,26,,,,
Chris Carpenter,P,MLB,,Int,2005-2014,CHN: 2008-3-97,R-R,12/26/85,29,,,,
Ryan Flaherty,2B,MLB,Baltimore Orioles,MLB-Active,2006-2014,CHN: 2008-1-41,L-R,7/27/86,29,4/7/12,26,3,1.5
D.J. LeMahieu,2B,MLB,Colorado Rockies,MLB-Active,2008-2014,CHN: 2009-2-79,R-R,7/13/88,27,5/30/11,23,2.128,2.1
