Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Hank Conger,C,MLB,Houston Astros,MLB-Active,2006-2014,ANA: 2006-1-25,B-R,1/29/88,27,9/11/10,23,3.051,1.6
Jordan Walden,P,MLB,St. Louis Cardinals,MLB-Active,2006-2014,ANA: 2006-12-372,R-R,11/16/87,27,8/22/10,23,4.043,3.9
Kaleb Cowart,3B,AA,Arkansas (AA) >> Los Angeles Angels,Minors,2010-2014,ANA: 2010-1-18,B-R,6/2/92,23,null,null,0,0
Garrett Richards,P,MLB,Los Angeles Angels,MLB-Active,2007-2014,ANA: 2009-1-42,R-R,5/27/88,27,,,,
Fabio Martinez Mesa,P,AAA,Albuquerque (AAA) >> Los Angeles Dodgers,Minors,2009-2014,Not drafted,R-R,10/29/89,25,null,null,0,0
Mark Trumbo,1B,MLB,Arizona Diamondbacks,MLB-Active,2005-2014,ANA: 2004-18-533,R-R,1/16/86,29,9/11/10,25,4.027,5.5
Cam Bedrosian,P,MLB,Los Angeles Angels,MLB-Active,2010-2014,ANA: 2010-1-29,R-R,10/2/91,23,,,,
Hank Conger,C,MLB,Houston Astros,MLB-Active,2006-2014,ANA: 2006-1-25,B-R,1/29/88,27,,,,
Peter Bourjos,CF,MLB,St. Louis Cardinals,MLB-Active,2006-2014,ANA: 2005-10-313,R-R,3/31/87,28,8/3/10,23,4.062,10.7
Mike Trout,CF,MLB,Los Angeles Angels,MLB-Active,2009-2014,ANA: 2009-1-25,R-R,8/7/91,24,,,,
Trevor Reckling,P,AAA,Arizona Diamondbacks,Minors,2007-2013,ANA: 2007-8-268,L-L,5/22/89,26,null,null,0,0
Garrett Richards,P,MLB,Los Angeles Angels,MLB-Active,2007-2014,ANA: 2009-1-42,R-R,5/27/88,27,,,,
Fabio Martinez Mesa,P,AAA,Albuquerque (AAA) >> Los Angeles Dodgers,Minors,2009-2014,Not drafted,R-R,10/29/89,25,null,null,0,0
Randal Grichuk,OF,MLB,St. Louis Cardinals,MLB-Active,2009-2014,ANA: 2009-1-24,R-R,8/13/91,24,,,,
Tyler Skaggs,P,MLB,Los Angeles Angels,MLB-Active,2009-2014,ANA: 2009-1-40,L-L,7/13/91,24,8/22/12,21,1.066,1.5
Jordan Walden,P,MLB,St. Louis Cardinals,MLB-Active,2006-2014,ANA: 2006-12-372,R-R,11/16/87,27,,,,
Trevor Bell,P,MLB,,Free Agent,2005-2014,ANA: 2005-1-37,L-R,10/12/86,28,8/12/09,23,2.124,1.2
