Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Jesus Guzman,Padres (AAA),27,286,11.90%,14.70%,0.81,0.332,0.423,0.529,0.951,0.197,3.5,0.374,-1.2,56,16,0.418,140,3118
Bobby Scales,Cubs (AAA),33,283,16.60%,20.50%,0.81,0.304,0.424,0.535,0.959,0.23,4.7,0.367,-2,55,15.6,0.418,139,2673
Charlie Blackmon,Rockies (AAA),24,272,7.00%,12.50%,0.56,0.342,0.396,0.576,0.972,0.235,7.4,0.361,-0.1,53,14.9,0.417,139,7859
Val Majewski,Rangers (AAA),30,155,11.60%,16.10%,0.72,0.333,0.413,0.541,0.954,0.207,7,0.377,0.5,30,8.3,0.416,138,4851
A.J. Ellis,Dodgers (AAA),30,248,20.20%,9.30%,2.17,0.304,0.467,0.418,0.885,0.114,1.8,0.338,-0.5,48,13.1,0.415,138,5677
Martin Maldonado,Brewers (AAA),24,160,10.00%,13.10%,0.76,0.321,0.41,0.537,0.948,0.216,1.4,0.33,0,31,8.4,0.415,137,6887
Brian Barden,Rangers (AAA),30,232,7.30%,14.20%,0.52,0.357,0.403,0.556,0.958,0.198,3.6,0.39,-0.3,45,11.9,0.413,136,4429
John Lindsey,Dodgers (AAA),34,270,10.40%,21.90%,0.47,0.309,0.404,0.543,0.947,0.235,1.2,0.363,0,51,13.3,0.411,135,2279
Justin Maxwell,Yankees (AAA),27,204,12.70%,35.30%,0.36,0.26,0.358,0.588,0.945,0.328,6.9,0.337,1.3,37,13.4,0.41,157,6827
Russ Canzler,Rays (AAA),25,549,12.20%,23.50%,0.52,0.314,0.401,0.53,0.93,0.215,4.4,0.396,-0.2,99,36,0.41,157,8265
Mark Hamilton,Cardinals (AAA),26,303,13.90%,14.50%,0.95,0.345,0.439,0.472,0.911,0.127,1.7,0.403,0,57,14.6,0.41,134,9334
