Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Ryan Kussmaul,White Sox (A+),24,57.1,13.81,3.3,4.19,0.31,38.40%,9.20%,29.30%,0.159,0.94,0.265,69.00%,2.51,1.76,0.75,sa554616
Yoanner Negrin,Cubs (A+),27,4.1,10.38,2.08,5,0,23.80%,4.80%,19.10%,0.35,1.85,0.467,37.50%,10.38,1.77,8.61,sa608348
Patrick Lehman,Nationals (A+),24,15.2,6.32,0,11,0,19.30%,0.00%,19.30%,0.158,0.57,0.196,55.60%,1.72,1.82,-0.1,sa501681
Chris Manno,Reds (A+),22,17,16.41,3.18,5.17,0,47.00%,9.10%,37.90%,0.105,0.71,0.231,86.70%,0.53,1.89,-1.36,sa503241
J.P. Howell,Rays (A+),28,3.1,10.8,2.7,4,0,28.60%,7.10%,21.40%,0.231,1.2,0.333,75.00%,2.7,1.89,0.81,8245
Mitch Atkins,Orioles (A+),25,9,14,0,14,1,40.00%,0.00%,40.00%,0.206,0.78,0.316,75.80%,3,1.9,1.1,8369
Edgar Garcia,Royals (A+),23,12,8.25,1.5,5.5,0,22.90%,4.20%,18.80%,0.239,1.08,0.314,76.90%,2.25,1.9,0.35,sa282907
Tim Bascom,Orioles (A+),26,6,10.5,3,3.5,0,31.80%,9.10%,22.70%,0.2,1,0.308,100.00%,0,1.9,-1.9,sa326787
Miguel De Los Santos,Rangers (A+),22,63.2,13.71,3.96,3.46,0.28,36.50%,10.50%,25.90%,0.193,1.16,0.317,59.00%,3.82,1.91,1.91,sa393252
Rob Bryson,Indians (A+),23,14,12.86,1.93,6.67,0.64,40.00%,6.00%,34.00%,0.128,0.64,0.192,100.00%,0.64,1.94,-1.3,sa393057
Erik Hamren,Padres (A+),24,16.2,11.34,1.08,10.5,0,34.40%,3.30%,31.20%,0.207,0.84,0.324,86.70%,1.08,1.97,-0.89,9133
Andy Loomis,Phillies (A+),25,31.2,11.08,2.84,3.9,0,29.80%,7.60%,22.10%,0.225,1.17,0.333,84.20%,1.14,1.97,-0.83,sa455321
Roy Oswalt,Phillies (A+),33,5,9,1.8,5,0,21.70%,4.40%,17.40%,0.318,1.6,0.412,62.50%,5.4,1.99,3.41,571
Johan Santana,Mets (A+),32,5,9,0,5,0,25.00%,0.00%,25.00%,0.263,1,0.357,83.30%,1.8,1.99,-0.19,755
Shelby Miller,Cardinals (A+),20,53,13.75,3.4,4.05,0.34,37.00%,9.10%,27.90%,0.202,1.13,0.33,70.50%,2.89,2.01,0.88,10197
Pat Urckfitz,Astros (A+),22,13.1,11.48,2.03,5.67,0,32.10%,5.70%,26.40%,0.16,0.83,0.242,72.70%,2.03,2.07,-0.05,sa457153
Toru Murata,Indians (A+),26,49.2,10.51,1.81,5.8,0.36,30.40%,5.20%,25.10%,0.2,0.93,0.283,74.70%,2.36,2.08,0.27,sa527786
